Date,Mu2Ch12,Mu2Ch13,Mu2Ch23,Icorr213,Icorr212,Icorr223
2022-06-29 18:00:00+00:00,19432,9996,20241,10012,19460,20273
2022-06-29 19:00:00+00:00,19279,9999,20167,10014,19305,20196
2022-06-29 20:00:00+00:00,19255,9972,20101,9988,19282,20132
2022-06-29 21:00:00+00:00,19139,9883,20180,9896,19161,20206
2022-06-29 22:00:00+00:00,19275,9972,20038,9982,19292,20057
2022-06-29 23:00:00+00:00,19379,10095,20239,10101,19390,20251
2022-06-30 00:00:00+00:00,18943,9840,20069,9844,18950,20078
2022-06-30 01:00:00+00:00,19281,9848,20041,9850,19285,20045
2022-06-30 02:00:00+00:00,19193,9880,20123,9883,19199,20129
2022-06-30 03:00:00+00:00,19256,9949,19994,9955,19267,20006
2022-06-30 04:00:00+00:00,19156,9987,20031,9998,19174,20052
2022-06-30 05:00:00+00:00,19002,9861,19894,9877,19029,19925
2022-06-30 06:00:00+00:00,19276,10006,20073,10026,19310,20111
2022-06-30 07:00:00+00:00,19237,9900,20096,9917,19265,20129
2022-06-30 08:00:00+00:00,19234,9923,20104,9938,19259,20133
2022-06-30 09:00:00+00:00,19163,9993,20025,10007,19187,20053
2022-06-30 10:00:00+00:00,19436,10125,20318,10138,19459,20344
2022-06-30 11:00:00+00:00,19547,10148,20355,10161,19569,20380
2022-06-30 12:00:00+00:00,19245,9826,20221,9841,19270,20250
2022-06-30 13:00:00+00:00,19166,9950,20122,9966,19193,20154
2022-06-30 14:00:00+00:00,19514,10084,20308,10103,19547,20346
2022-06-30 15:00:00+00:00,19325,10024,20244,10044,19359,20283
2022-06-30 16:00:00+00:00,19543,10019,20210,10038,19575,20246
2022-06-30 17:00:00+00:00,19522,10053,20285,10070,19552,20319
2022-06-30 18:00:00+00:00,19458,10098,20250,10114,19486,20282
2022-06-30 19:00:00+00:00,19213,9881,19763,9896,19238,19792
2022-06-30 20:00:00+00:00,19579,10050,20372,10063,19601,20397
2022-06-30 21:00:00+00:00,19096,9899,20187,9909,19113,20207
2022-06-30 22:00:00+00:00,19317,9969,20411,9977,19331,20427
2022-06-30 23:00:00+00:00,19232,10056,20076,10060,19239,20084
2022-07-01 00:00:00+00:00,19185,9906,20251,9908,19190,20256
2022-07-01 01:00:00+00:00,19338,10053,20207,10055,19342,20211
2022-07-01 02:00:00+00:00,19411,10040,20337,10041,19414,20340
2022-07-01 03:00:00+00:00,19252,9945,20172,9948,19258,20178
2022-07-01 04:00:00+00:00,19201,10003,20143,10007,19209,20152
2022-07-01 05:00:00+00:00,19505,10167,20361,10174,19518,20376
2022-07-01 06:00:00+00:00,19377,10045,20075,10053,19392,20092
2022-07-01 07:00:00+00:00,19260,9862,20027,9872,19278,20047
2022-07-01 08:00:00+00:00,19147,9835,20050,9845,19164,20070
2022-07-01 09:00:00+00:00,19500,10054,20329,10064,19517,20348
2022-07-01 10:00:00+00:00,19244,10024,20235,10034,19260,20254
2022-07-01 11:00:00+00:00,19527,10186,20436,10196,19545,20456
2022-07-01 12:00:00+00:00,19533,10178,20423,10188,19551,20443
2022-07-01 13:00:00+00:00,19600,10109,20085,10119,19618,20105
2022-07-01 14:00:00+00:00,19465,9952,20365,9964,19486,20389
2022-07-01 15:00:00+00:00,19493,10124,20407,10139,19518,20436
2022-07-01 16:00:00+00:00,19559,10157,20390,10174,19588,20423
2022-07-01 17:00:00+00:00,19560,10081,20363,10095,19585,20391
2022-07-01 18:00:00+00:00,19316,10037,20233,10049,19337,20257
2022-07-01 19:00:00+00:00,19596,10067,20304,10075,19611,20321
2022-07-01 20:00:00+00:00,19561,10106,20504,10113,19573,20518
2022-07-01 21:00:00+00:00,19547,10045,20367,10050,19557,20378
2022-07-01 22:00:00+00:00,19422,9976,20135,9979,19428,20141
2022-07-01 23:00:00+00:00,19450,10047,20265,10049,19454,20269
2022-07-02 00:00:00+00:00,19318,10137,20488,10137,19318,20488
2022-07-02 01:00:00+00:00,19407,10022,20207,10018,19401,20200
2022-07-02 02:00:00+00:00,19319,10056,20350,10052,19313,20343
2022-07-02 03:00:00+00:00,19484,10151,20324,10148,19480,20319
2022-07-02 04:00:00+00:00,19662,10065,20270,10065,19663,20271
2022-07-02 05:00:00+00:00,19470,10143,20359,10146,19475,20364
2022-07-02 06:00:00+00:00,19388,10090,20247,10094,19396,20256
2022-07-02 07:00:00+00:00,19558,10073,20318,10076,19564,20324
2022-07-02 08:00:00+00:00,19417,10123,20435,10126,19423,20442
2022-07-02 09:00:00+00:00,19765,10213,20479,10214,19767,20481
2022-07-02 10:00:00+00:00,19600,10189,20435,10189,19601,20436
2022-07-02 11:00:00+00:00,19519,10102,20545,10102,19519,20545
2022-07-02 12:00:00+00:00,19964,10364,20809,10364,19964,20809
2022-07-02 13:00:00+00:00,19602,10200,20597,10203,19607,20602
2022-07-02 14:00:00+00:00,19627,10038,20466,10042,19634,20474
2022-07-02 15:00:00+00:00,19758,10328,20439,10332,19766,20448
2022-07-02 16:00:00+00:00,19595,10024,20351,10028,19603,20360
2022-07-02 17:00:00+00:00,19679,10202,20550,10205,19684,20555
2022-07-02 18:00:00+00:00,19756,10215,20507,10216,19758,20509
2022-07-02 19:00:00+00:00,19490,9983,20170,9984,19492,20172
2022-07-02 20:00:00+00:00,19605,10124,20485,10124,19606,20486
2022-07-02 21:00:00+00:00,19585,10130,20108,10128,19582,20104
2022-07-02 22:00:00+00:00,19610,10099,20516,10094,19601,20506
2022-07-02 23:00:00+00:00,19434,10194,20244,10186,19421,20230
2022-07-03 00:00:00+00:00,19685,10124,20525,10116,19672,20511
2022-07-03 01:00:00+00:00,19676,10180,20492,10171,19661,20475
2022-07-03 02:00:00+00:00,19441,10134,20496,10125,19425,20478
2022-07-03 03:00:00+00:00,19381,10107,20168,10098,19365,20150
2022-07-03 04:00:00+00:00,19581,10252,20358,10245,19569,20345
2022-07-03 05:00:00+00:00,19663,10085,20158,10080,19654,20148
2022-07-03 06:00:00+00:00,19635,10200,20419,10196,19628,20412
2022-07-03 07:00:00+00:00,19603,10232,20687,10229,19597,20681
2022-07-03 08:00:00+00:00,19785,10258,20696,10255,19780,20691
2022-07-03 09:00:00+00:00,19781,10334,20661,10330,19774,20654
2022-07-03 10:00:00+00:00,19938,10251,20731,10247,19931,20724
2022-07-03 11:00:00+00:00,19737,10343,20773,10341,19735,20770
2022-07-03 12:00:00+00:00,19993,10423,20768,10421,19990,20765
2022-07-03 13:00:00+00:00,19836,10158,20406,10158,19836,20406
2022-07-03 14:00:00+00:00,19934,10251,20725,10251,19935,20726
2022-07-03 15:00:00+00:00,20231,10456,20824,10458,20235,20828
2022-07-03 16:00:00+00:00,19887,10205,20670,10207,19891,20674
2022-07-03 17:00:00+00:00,20191,10415,20846,10416,20193,20848
2022-07-03 18:00:00+00:00,19893,10382,20712,10382,19893,20712
2022-07-03 19:00:00+00:00,19948,10342,20554,10342,19948,20554
2022-07-03 20:00:00+00:00,19675,10232,20557,10232,19675,20557
2022-07-03 21:00:00+00:00,19724,10151,20612,10148,19719,20607
2022-07-03 22:00:00+00:00,19632,10280,20561,10276,19626,20555
2022-07-03 23:00:00+00:00,19681,10090,20505,10085,19672,20495
2022-07-04 00:00:00+00:00,19677,10105,20440,10099,19667,20429
2022-07-04 01:00:00+00:00,19662,10348,20747,10340,19649,20732
2022-07-04 02:00:00+00:00,19346,10097,20707,10090,19335,20694
2022-07-04 03:00:00+00:00,19810,10116,20556,10108,19797,20542
2022-07-04 04:00:00+00:00,19529,10163,20645,10157,19519,20634
2022-07-04 05:00:00+00:00,19969,10277,20712,10274,19964,20707
2022-07-04 06:00:00+00:00,19857,10294,20577,10293,19856,20575
2022-07-04 07:00:00+00:00,19581,10159,20648,10158,19580,20646
2022-07-04 08:00:00+00:00,19833,10089,20514,10089,19833,20514
2022-07-04 09:00:00+00:00,19943,10295,20389,10293,19940,20386
2022-07-04 10:00:00+00:00,20135,10307,20616,10304,20130,20611
2022-07-04 11:00:00+00:00,19891,10246,20785,10244,19887,20781
2022-07-04 12:00:00+00:00,19782,10147,20583,10144,19777,20578
2022-07-04 13:00:00+00:00,20043,10403,20848,10402,20042,20846
2022-07-04 14:00:00+00:00,20245,10561,20844,10562,20248,20847
2022-07-04 15:00:00+00:00,19802,10065,20529,10068,19807,20534
2022-07-04 16:00:00+00:00,19894,10259,20864,10263,19902,20873
2022-07-04 17:00:00+00:00,19868,10266,20783,10271,19877,20793
2022-07-04 18:00:00+00:00,19781,10244,20842,10248,19789,20851
2022-07-04 19:00:00+00:00,19410,9940,20387,9942,19415,20392
2022-07-04 20:00:00+00:00,19943,10357,20796,10359,19947,20800
2022-07-04 21:00:00+00:00,19508,10224,20623,10226,19512,20627
2022-07-04 22:00:00+00:00,19953,10292,20864,10292,19954,20865
2022-07-04 23:00:00+00:00,19625,10199,20583,10198,19624,20581
2022-07-05 00:00:00+00:00,19799,10344,20612,10342,19795,20608
2022-07-05 01:00:00+00:00,19403,10078,20402,10075,19398,20396
2022-07-05 02:00:00+00:00,19731,10179,20411,10176,19726,20406
2022-07-05 03:00:00+00:00,19679,10254,20588,10253,19678,20586
2022-07-05 04:00:00+00:00,19888,10340,20694,10341,19890,20696
2022-07-05 05:00:00+00:00,19671,10100,20366,10103,19677,20372
2022-07-05 06:00:00+00:00,19582,10140,20624,10144,19590,20633
2022-07-05 07:00:00+00:00,19643,10131,20487,10135,19650,20495
2022-07-05 08:00:00+00:00,20101,10296,20468,10297,20104,20471
2022-07-05 09:00:00+00:00,19617,10227,20314,10227,19618,20315
2022-07-05 10:00:00+00:00,20144,10410,20908,10411,20146,20910
2022-07-05 11:00:00+00:00,19758,10334,20603,10334,19759,20604
2022-07-05 12:00:00+00:00,20066,10333,20942,10334,20068,20944
2022-07-05 13:00:00+00:00,19829,10312,20440,10314,19833,20444
2022-07-05 14:00:00+00:00,19730,10194,20682,10198,19737,20690
2022-07-05 15:00:00+00:00,20006,10410,20659,10416,20017,20671
2022-07-05 16:00:00+00:00,19963,10441,21058,10449,19977,21074
2022-07-05 17:00:00+00:00,19887,10319,20610,10325,19898,20622
2022-07-05 18:00:00+00:00,19894,10404,20819,10408,19902,20828
2022-07-05 19:00:00+00:00,19899,10224,20761,10227,19905,20768
2022-07-05 20:00:00+00:00,19831,10161,20733,10163,19835,20737
2022-07-05 21:00:00+00:00,19934,10281,20697,10282,19936,20699
2022-07-05 22:00:00+00:00,20031,10286,20715,10285,20030,20713
2022-07-05 23:00:00+00:00,19786,10155,20515,10152,19780,20509
2022-07-06 00:00:00+00:00,19628,10068,20489,10063,19620,20480
2022-07-06 01:00:00+00:00,19645,10059,20328,10054,19636,20318
2022-07-06 02:00:00+00:00,19745,10125,20579,10120,19736,20569
2022-07-06 03:00:00+00:00,19700,10132,20401,10129,19694,20395
2022-07-06 04:00:00+00:00,19706,10234,20528,10232,19702,20524
2022-07-06 05:00:00+00:00,19721,10163,20612,10163,19722,20613
2022-07-06 06:00:00+00:00,19697,10059,20408,10060,19699,20410
